Iterations,J_t
9380,0.06254113615086401
9390,0.06253937463526883
9400,0.06253760731531104
9410,0.06253583412159451
9420,0.06253405498410822
9430,0.06253226983221552
9440,0.06253047859464418
9450,0.06252868119947474
9460,0.06252687757412992
9470,0.06252506764536364
9480,0.06252325133924935
9490,0.06252142858116932
9500,0.06251959929580295
9510,0.06251776340711485
9520,0.06251592083834402
9530,0.06251407151199073
9540,0.06251221534980568
9550,0.06251035227277739
9560,0.06250848220112029
9570,0.06250660505426174
9580,0.06250472075082991
9590,0.06250282920864123
9600,0.06250093034468737
9610,0.06249902407512219
9620,0.06249711031524888
9630,0.062495188979506185
9640,0.062493259981455884
9650,0.06249132323376826
9660,0.06248937864820878
9670,0.062487426135624184
9680,0.06248546560592854
9690,0.062483496968088435
9700,0.06248152013010929
9710,0.06247953499902029
9720,0.06247754148085999
9730,0.06247553948066072
9740,0.062473528902434426
9750,0.06247150964915659
9760,0.06246948162275119
9770,0.062467444724074735
9780,0.06246539885290089
9790,0.06246334390790402
9800,0.06246127978664294
9810,0.062459206385545044
9820,0.06245712359988918
9830,0.062455031323788913
9840,0.062452929450176164
9850,0.062450817870782854
9860,0.06244869647612482
9870,0.06244656515548336
9880,0.06244442379688782
9890,0.06244227228709737
9900,0.062440110511583144
9910,0.06243793835450969
9920,0.06243575569871648
9930,0.06243356242569871
9940,0.062431358415589056
9950,0.06242914354713786
9960,0.0624269176976939
9970,0.062424680743184725
9980,0.0624224325580973
9990,0.06242017301545734
10000,0.06242017301545734
